"","family","genus","binomial","authority","year","number_of_synonyms","number_of_unique_synonyms","commonname","inCSchallenge","common_synonyms_from_HerpMapper","mivs"
"1","Elapidae","Hydrophis","Hydrophis peronii","DUMÉRIL",1853,14,6,"",0,"","yes"
"2","Elapidae","Acanthophis","Acanthophis antarcticus","SHAW",1802,20,10,"Common Death Adder",1,"","yes"
"3","Elapidae","Acanthophis","Acanthophis hawkei","WELLS & WELLINGTON",1985,7,1,"Plains Death Adder",0,"","yes"
"4","Elapidae","Acanthophis","Acanthophis praelongus","RAMSAY",1877,4,0,"Northern Death Adder",0,"","yes"
"5","Elapidae","Acanthophis","Acanthophis pyrrhus","BOULENGER",1898,8,3,"Desert Death Adder",0,"","yes"
"6","Elapidae","Acanthophis","Acanthophis wellsi","HOSER",1998,8,2,"",0,"","yes"
"7","Xenodermidae","Achalinus","Achalinus ater","BOURRET",1937,4,1,"Bourret's Odd-scaled Snake",0,"","no"
"8","Xenodermidae","Achalinus","Achalinus formosanus","BOULENGER",1908,8,2,"Formosa Odd-scaled Snake",1,"","no"
"9","Xenodermidae","Achalinus","Achalinus hainanus","HUANG",1975,3,0,"Hainan Odd-scaled Snake",0,"","no"
"10","Xenodermidae","Achalinus","Achalinus jinggangensis","ZONG & MA",1983,3,1,"Zong's Odd-scaled Snake",0,"","no"
"11","Xenodermidae","Achalinus","Achalinus meiguensis","HU & ZHAO",1966,3,0,"Szechwan Odd-scaled Snake",0,"","no"
"12","Xenodermidae","Achalinus","Achalinus niger","MAKI",1931,3,0,"Black Odd-scaled Snake",0,"","no"
"13","Xenodermidae","Achalinus","Achalinus rufescens","BOULENGER",1888,9,2,"Boulenger's Odd-scaled Snake",0,"","no"
"14","Xenodermidae","Achalinus","Achalinus spinalis","PETERS",1869,9,2,"Peters' Odd-scaled Snake",0,"","no"
"15","Xenodermidae","Achalinus","Achalinus werneri","VAN DENBURGH",1912,5,2,"Amami Odd-scaled Snake",0,"","no"
"16","Acrochordidae","Acrochordus","Acrochordus arafurae","MCDOWELL",1979,5,0,"Arafura File Snake",0,"","no"
"17","Acrochordidae","Acrochordus","Acrochordus granulatus","SCHNEIDER",1799,21,6,"Little File Snake",1,"","no"
"18","Acrochordidae","Acrochordus","Acrochordus javanicus","HORNSTEDT",1787,13,2,"Java File Snake",0,"","no"
"19","Typhlopidae","Acutotyphlops","Acutotyphlops infralabialis","WAITE",1918,8,3,"",0,"","no"
"20","Typhlopidae","Acutotyphlops","Acutotyphlops kunuaensis","WALLACH",1995,5,0,"",0,"","no"
"21","Typhlopidae","Acutotyphlops","Acutotyphlops solomonis","PARKER",1939,7,2,"",0,"","no"
"22","Typhlopidae","Acutotyphlops","Acutotyphlops subocularis","WAITE",1897,11,6,"",0,"","no"
"23","Colubridae","Adelophis","Adelophis copei","DUGÈS",1879,4,1,"Cope's Mountain Meadow Snake",0,"","no"
"24","Colubridae","Adelophis","Adelophis foxi","ROSSMAN & BLANEY",1968,4,0,"Fox's Mountain Meadow Snake",0,"","no"
"25","Colubridae","Adelphicos","Adelphicos daryi","CAMPBELL & FORD",1982,3,0,"Dary's Burrowing Snake",0,"","no"
"26","Colubridae","Adelphicos","Adelphicos ibarrorum","CAMPBELL & BRODIE",1988,3,0,"",0,"","no"
"27","Colubridae","Adelphicos","Adelphicos latifasciatum","LYNCH & SMITH",1966,6,2,"Oaxacan Burrowing Snake",0,"","no"
"28","Colubridae","Adelphicos","Adelphicos nigrilatum","SMITH",1942,8,3,"Burrowing Snake",0,"","no"
"29","Colubridae","Adelphicos","Adelphicos quadrivirgatum","JAN",1862,10,3,"Middle American Burrowing Snake",0,"","no"
"30","Colubridae","Adelphicos","Adelphicos veraepacis","STUART",1941,4,0,"Stuart's Burrowing Snake",0,"","no"
"31","Viperidae","Atheris","Atheris barbouri","LOVERIDGE",1930,9,1,"",0,"","yes"
"32","Colubridae","Aeluroglena","Aeluroglena cucullata","BOULENGER",1898,5,0,"",0,"","no"
"33","Colubridae","Afronatrix","Afronatrix anoscopus","COPE",1861,18,9,"African Brown Water Snake",0,"","no"
"34","Viperidae","Agkistrodon","Agkistrodon bilineatus","GÜNTHER",1863,9,1,"Cantil",0,"","yes"
"35","Viperidae","Agkistrodon","Agkistrodon contortrix","LINNAEUS",1766,21,9,"Copperhead",1,"Agkistrodon laticinctus","yes"
"36","Viperidae","Agkistrodon","Agkistrodon piscivorus","LACÉPÈDE",1789,20,7,"Cottonmouth",1,"Agkistrodon conanti","yes"
"37","Colubridae","Ahaetulla","Ahaetulla dispar","GÜNTHER",1864,5,2,"Indian Bronzeback",0,"","no"
"38","Colubridae","Ahaetulla","Ahaetulla fasciolata","FISCHER",1885,8,3,"Speckle-headed Whipsnake",0,"","no"
"39","Colubridae","Ahaetulla","Ahaetulla fronticincta","GÜNTHER",1858,8,3,"Myanmar Whipsnake",0,"","no"
"40","Colubridae","Ahaetulla","Ahaetulla mycterizans","LINNAEUS",1758,16,8,"Malayan Whipsnake",0,"","no"
"41","Colubridae","Ahaetulla","Ahaetulla nasuta","LACÉPÈDE",1789,23,14,"Long-nosed Tree Snake",1,"","no"
"42","Colubridae","Ahaetulla","Ahaetulla perroteti","DUMÉRIL, BIBRON  & DUMÉRIL",1854,8,4,"Western Ghats Bronzeback",0,"","no"
"43","Colubridae","Ahaetulla","Ahaetulla prasina","BOIE",1827,25,10,"Oriental Whipsnake",1,"","no"
"44","Colubridae","Ahaetulla","Ahaetulla pulverulenta","DUMÉRIL, BIBRON  & DUMÉRIL",1854,11,5,"Brown-speckled Whipsnake",0,"","no"
"45","Elapidae","Aipysurus","Aipysurus apraefrontalis","SMITH",1926,6,1,"",0,"","no"
