"","family","genus","binomial","authority","year","number_of_synonyms","number_of_unique_synonyms","commonname","inCSchallenge","common_synonyms_from_HerpMapper","mivs"
"46","Elapidae","Aipysurus","Aipysurus duboisii","BAVAY",1869,8,2,"Dubois' Sea Snake",0,"","no"
"47","Elapidae","Aipysurus","Aipysurus eydouxii","GRAY",1849,11,7,"Northern Sea Snake",0,"","no"
"48","Elapidae","Aipysurus","Aipysurus foliosquama","SMITH",1926,6,1,"Red-brown Sea Snake",0,"","no"
"49","Elapidae","Aipysurus","Aipysurus fuscus","TSCHUDI",1837,6,1,"Brown Sea Snake",0,"","no"
"50","Elapidae","Aipysurus","Aipysurus laevis","LACÉPÈDE",1804,10,3,"Olive Sea Snake",0,"","no"
"51","Elapidae","Aipysurus","Aipysurus tenuis","LÖNNBERG & ANDERSSON",1913,6,1,"Arafura Sea Snake",0,"","no"
"52","Lamprophiidae","Alluaudina","Alluaudina bellyi","MOCQUARD",1894,4,0,"",0,"","no"
"53","Lamprophiidae","Alluaudina","Alluaudina mocquardi","ANGEL",1939,3,0,"",0,"","no"
"54","Colubridae","Haitiophis","Haitiophis anomalus","PETERS",1863,10,6,"Hispaniola Racer",0,"Alsophis anomalus","no"
"55","Colubridae","Alsophis","Alsophis antiguae","PARKER",1933,4,1,"Antiguan Racer",0,"","no"
"56","Colubridae","Alsophis","Alsophis antillensis","SCHLEGEL",1837,13,4,"Antilles Racer",0,"","no"
"57","Colubridae","Hypsirhynchus","Hypsirhynchus ater","GOSSE",1851,13,6,"Jamaica Racer",0,"Alsophis ater","no"
"58","Colubridae","Pseudalsophis","Pseudalsophis biserialis","GÜNTHER",1860,19,6,"Galapagos Racer",0,"Alsophis biserialis","no"
"59","Colubridae","Cubophis","Cubophis cantherigerus","BIBRON",1840,22,7,"Bibron's Cuban Racer",0,"Alsophis cantherigerus","no"
"60","Colubridae","Pseudalsophis","Pseudalsophis elegans","TSCHUDI",1845,18,9,"Elegant Racer",0,"Philodryas elegans","no"
"61","Colubridae","Hypsirhynchus","Hypsirhynchus melanichnus","COPE",1862,9,2,"",0,"","no"
"62","Colubridae","Borikenophis","Borikenophis portoricensis","REINHARDT & LÜTKEN",1862,21,6,"Puerto Rican Racer",0,"Alsophis portoricensis","no"
"63","Colubridae","Alsophis","Alsophis rijgersmaei","COPE",1869,8,3,"Anguilla Racer",0,"","no"
"64","Colubridae","Alsophis","Alsophis rufiventris","DUMÉRIL, BIBRON  & DUMÉRIL",1854,6,1,"Saba Racer",0,"","no"
"65","Colubridae","Borikenophis","Borikenophis sanctaecrucis","COPE",1862,9,4,"St. Croix Racer",0,"Alsophis sanctaecrucis","no"
"66","Colubridae","Cubophis","Cubophis vudii","COPE",1862,30,3,"Bahamian Racer",0,"Alsophis vudii","no"
"67","Colubridae","Amastridium","Amastridium veliferum","COPE",1861,8,3,"Rusty-headed Snake",0,"Amastridium sapperi","no"
"68","Lamprophiidae","Amblyodipsas","Amblyodipsas concolor","SMITH",1849,6,3,"Natal Purple-glossed Snake",0,"","no"
"69","Lamprophiidae","Amblyodipsas","Amblyodipsas dimidiata","GÜNTHER",1888,8,3,"Mpwapwa Purple-glossed Snake",0,"","no"
"70","Lamprophiidae","Amblyodipsas","Amblyodipsas katangensis","DE WITTE & LAURENT",1942,13,3,"",0,"","no"
"71","Lamprophiidae","Amblyodipsas","Amblyodipsas microphthalma","BIANCONI",1852,12,2,"Eyeless Purple-glossed Snake",0,"","no"
"72","Lamprophiidae","Amblyodipsas","Amblyodipsas polylepis","BOCAGE",1873,22,6,"Common Purple-glossed Snake",0,"","no"
"73","Lamprophiidae","Amblyodipsas","Amblyodipsas rodhaini","DE WITTE",1930,5,3,"Rodhain's Purple-glossed Snake",0,"","no"
"74","Lamprophiidae","Amblyodipsas","Amblyodipsas teitana","BROADLEY",1971,5,0,"Teitana Purple-glossed Snake",0,"","no"
"75","Lamprophiidae","Amblyodipsas","Amblyodipsas unicolor","REINHARDT",1843,15,5,"Dull Purple-glossed Snake",0,"","no"
"76","Lamprophiidae","Amblyodipsas","Amblyodipsas ventrimaculata","ROUX",1907,10,4,"Kalahari Purple-glossed Snake",0,"","no"
"77","Colubridae","Hebius","Hebius atemporale","BOURRET",1934,7,3,"Tonkin Keelback",0,"Amphiesma atemporalis","no"
"78","Colubridae","Hebius","Hebius beddomei","GÜNTHER",1864,8,5,"Nilgiri Keelback",0,"Amphiesma beddomei","no"
"79","Colubridae","Hebius","Hebius bitaeniatum","WALL",1925,10,4,"Kutkai Keelback",0,"Amphiesma bitaeniata","no"
"80","Colubridae","Hebius","Hebius boulengeri","GRESSITT",1937,5,2,"Tai-yong Keelback",0,"Amphiesma boulengeri","no"
"81","Colubridae","Hebius","Hebius celebicum","PETERS & DORIA",1878,8,4,"Sulawesi Keelback",0,"","no"
"82","Colubridae","Hebius","Hebius concelarum","MALNATE",1963,8,3,"Miyakojima Keelback",0,"","no"
"83","Colubridae","Hebius","Hebius craspedogaster","BOULENGER",1899,9,5,"Kuatun Keelback",0,"Amphiesma craspedogaster","no"
"84","Colubridae","Hebius","Hebius deschauenseei","TAYLOR",1934,6,2,"Northern Keelback",0,"Amphiesma deschauenseei","no"
"85","Colubridae","Hebius","Hebius flavifrons","BOULENGER",1887,7,3,"Sabah Keelback",0,"Amphiesma flavifrons","no"
"86","Colubridae","Hebius","Hebius frenatum","DUNN",1923,5,3,"Mt. Marud Keelback",0,"","no"
"87","Colubridae","Hebius","Hebius groundwateri","SMITH",1922,6,2,"Ranong Keelback",0,"Amphiesma groundwateri","no"
"88","Colubridae","Hebius","Hebius inas","LAIDLAW",1901,8,3,"Malayan Mountain Keelback",0,"Amphiesma inas","no"
"89","Colubridae","Hebius","Hebius ishigakiense","MALNATE & MUNSTERMAN",1960,9,4,"Yaeyama keelback",0,"","no"
"90","Colubridae","Hebius","Hebius johannis","BOULENGER",1908,5,2,"Yunnan Keelback",0,"Amphiesma johannis","no"
"91","Colubridae","Hebius","Hebius khasiense","BOULENGER",1890,17,8,"Khasi Hills Keelback",0,"Amphiesma khasiense","no"
"92","Colubridae","Hebius","Hebius metusium","INGER, ZHAO, SHAFFER & WU",1990,6,2,"Wa Shan Keelback",0,"Amphiesma metusia","no"
"93","Colubridae","Hebius","Hebius miyajimae","MAKI",1931,4,2,"Maki's Keelback",0,"Amphiesma miyajimae","no"
"94","Colubridae","Hebius","Hebius modestum","GÜNTHER",1875,12,7,"Modest Keelback",0,"Amphiesma modesta","no"
"95","Colubridae","Hebius","Hebius monticola","JERDON",1853,8,5,"Wynad Keelback",0,"Amphiesma monticola","no"
"96","Colubridae","Hebius","Hebius nicobariense","SCLATER",1891,11,6,"Nicobar Island Keelback",0,"Amphiesma nicobariense","no"
"97","Colubridae","Hebius","Hebius octolineatum","BOULENGER",1904,13,9,"Eight-lined Keelback",0,"Amphiesma octolineata","no"
"98","Colubridae","Hebius","Hebius optatum","HU & ZHAO",1966,6,3,"Mount Omei Keelback",0,"Amphiesma optata","no"
"99","Colubridae","Hebius","Hebius parallelum","BOULENGER",1890,15,6,"Sikkim Keelback",0,"Amphiesma parallela","no"
"100","Colubridae","Hebius","Hebius pealii","SCLATER",1891,8,4,"Assam Keelback",0,"Amphiesma pealii","no"
"101","Colubridae","Hebius","Hebius petersii","BOULENGER",1893,12,6,"Peters' Keelback",0,"Amphiesma petersii","no"
"102","Colubridae","Herpetoreas","Herpetoreas platyceps","BLYTH",1854,18,9,"",0,"","no"
"103","Colubridae","Hebius","Hebius popei","SCHMIDT",1925,7,3,"Pope's Keelback",0,"Amphiesma popei","no"
"104","Colubridae","Hebius","Hebius pryeri","BOULENGER",1887,7,3,"Ishigaki-shima Keelback",0,"Amphiesma pryeri","no"
"105","Colubridae","Hebius","Hebius sanguineum","SMEDLEY",1932,9,4,"Cameroon Keelback",0,"Amphiesma sanguinae","no"
"106","Colubridae","Hebius","Hebius sarasinorum","BOULENGER",1896,6,2,"Sarasinâ€™s Keelback",0,"","no"
"107","Colubridae","Hebius","Hebius sarawacense","GÜNTHER",1872,14,8,"Sarawak Keelback",0,"Amphiesma sarawacensis","no"
"108","Colubridae","Hebius","Hebius sauteri","BOULENGER",1909,9,4,"Kosempo Keelback",0,"Amphiesma sauteri","no"
"109","Colubridae","Herpetoreas","Herpetoreas sieboldii","GÜNTHER",1860,8,1,"",0,"","no"
"110","Colubridae","Amphiesma","Amphiesma stolatum","LINNAEUS",1758,23,9,"Buff-striped Keelback",0,"","no"
"111","Colubridae","Hebius","Hebius venningi","WALL",1910,8,4,"Chin Hills Keelback",0,"Amphiesma venningi","no"
"112","Colubridae","Hebius","Hebius vibakari","BOIE",1826,22,6,"Japanese Keelback",0,"Amphiesma vibakari","no"
"113","Colubridae","Hebius","Hebius viperinum","SCHENKEL",1901,9,4,"Indragiri Keelback",0,"","no"
"114","Colubridae","Hebius","Hebius xenura","WALL",1907,8,5,"Wall's Keelback",0,"Amphiesma xenura","no"
"115","Colubridae","Amphiesmoides","Amphiesmoides ornaticeps","WERNER",1924,8,3,"Werner's Ornate Snake",0,"","no"
"116","Lamprophiidae","Amplorhinus","Amplorhinus multimaculatus","SMITH",1847,8,3,"Many-spotted Snake",0,"","no"
"117","Aniliidae","Anilius","Anilius scytale","LINNAEUS",1758,27,10,"Coral Pipe Snake",1,"","no"
"118","Anomalepididae","Anomalepis","Anomalepis aspinosus","TAYLOR",1939,4,0,"Taylor's Peru Blind Snake",0,"","no"
"119","Anomalepididae","Anomalepis","Anomalepis colombia","MARX",1953,4,0,"",0,"","no"
"120","Anomalepididae","Anomalepis","Anomalepis flavapices","PETERS",1957,4,0,"Ecuador Blind Snake",0,"","no"
"121","Anomalepididae","Anomalepis","Anomalepis mexicanus","JAN",1860,9,2,"Mexican Blind Snake",0,"","no"
"122","Anomochilidae","Anomochilus","Anomochilus leonardi","SMITH",1940,4,0,"Leonard's Pipe Snake",0,"","no"
"123","Anomochilidae","Anomochilus","Anomochilus weberi","LIDTH DE JEUDE",1890,8,1,"Pipe Snake",0,"","no"
"124","Colubridae","Anoplohydrus","Anoplohydrus aemulans","WERNER",1909,4,1,"",0,"","no"
"125","Pythonidae","Antaresia","Antaresia childreni","GRAY",1842,12,3,"Children's Python",0,"","no"
"126","Pythonidae","Antaresia","Antaresia maculosa","PETERS",1873,10,2,"Spotted Python",0,"","no"
"127","Pythonidae","Antaresia","Antaresia perthensis","STULL",1932,10,5,"Pygmy Python",0,"","no"
"128","Pythonidae","Antaresia","Antaresia stimsoni","SMITH",1985,12,3,"Stimson's Python",0,"","no"
"129","Colubridae","Caraiba","Caraiba andreae","REINHARDT & LÜTKEN",1862,29,8,"",0,"","no"
"130","Colubridae","Hypsirhynchus","Hypsirhynchus parvifrons","COPE",1862,23,6,"",0,"","no"
"131","Lamprophiidae","Aparallactus","Aparallactus capensis","SMITH",1849,22,5,"Cape Centipede-eater",1,"","no"
"132","Lamprophiidae","Aparallactus","Aparallactus guentheri","BOULENGER",1895,9,2,"Black Centipede-eater",0,"","no"
"133","Lamprophiidae","Aparallactus","Aparallactus jacksonii","GÜNTHER",1888,10,1,"",0,"","no"
"134","Lamprophiidae","Aparallactus","Aparallactus lineatus","PETERS",1870,8,2,"Lined Centipede-eater",0,"","no"
"135","Lamprophiidae","Aparallactus","Aparallactus lunulatus","PETERS",1854,20,3,"Reticulate Centipede-eater",0,"","no"
"136","Lamprophiidae","Aparallactus","Aparallactus modestus","GÜNTHER",1859,23,14,"Western Forest Centipede-eater",0,"","no"
"137","Lamprophiidae","Aparallactus","Aparallactus moeruensis","DE WITTE & LAURENT",1943,4,0,"Zaire Centipede-eater",0,"","no"
"138","Lamprophiidae","Aparallactus","Aparallactus niger","BOULENGER",1897,6,1,"",0,"","no"
"139","Lamprophiidae","Aparallactus","Aparallactus nigriceps","PETERS",1854,10,4,"Mozambique Centipede-eater",0,"","no"
"140","Lamprophiidae","Aparallactus","Aparallactus turneri","LOVERIDGE",1935,6,0,"Malindi Centipede-eater",0,"","no"
"141","Lamprophiidae","Aparallactus","Aparallactus werneri","BOULENGER",1895,7,0,"Usambara Centipede-eater",0,"","no"
"142","Pareidae","Aplopeltura","Aplopeltura boa","BOIE",1828,14,4,"Blunthead Slug Snake",1,"","no"
"143","Pythonidae","Liasis","Liasis papuanus","PETERS & DORIA",1878,15,6,"",0,"","no"
"144","Colubridae","Apostolepis","Apostolepis ambiniger","PETERS",1869,6,2,"",0,"","no"
"145","Colubridae","Apostolepis","Apostolepis arenaria","RODRIGUES",1993,4,1,"",0,"","no"
"146","Colubridae","Apostolepis","Apostolepis assimilis","REINHARDT",1861,10,1,"Reinhardt's Burrowing Snake",0,"","no"
"147","Colubridae","Apostolepis","Apostolepis cearensis","GOMES",1915,16,5,"Gomes' Burrowing Snake",0,"","no"
"148","Colubridae","Apostolepis","Apostolepis dimidiata","JAN",1862,20,11,"",0,"","no"
"149","Colubridae","Apostolepis","Apostolepis dorbignyi","SCHLEGEL",1837,5,1,"Bolivian Burrowing Snake",0,"","no"
"150","Colubridae","Apostolepis","Apostolepis flavotorquata","DUMÉRIL, BIBRON  & DUMÉRIL",1854,8,2,"Central Burrowing Snake",0,"","no"
"151","Colubridae","Apostolepis","Apostolepis gaboi","RODRIGUES",1993,3,0,"",0,"","no"
"152","Colubridae","Apostolepis","Apostolepis goiasensis","PRADO",1942,4,0,"Goias Burrowing Snake",0,"","no"
"153","Colubridae","Apostolepis","Apostolepis intermedia","KOSLOWSKY",1898,4,0,"Mato Grosso Burrowing Snake",0,"","no"
"154","Colubridae","Apostolepis","Apostolepis longicaudata","GOMES",1921,4,0,"Longhead Burrowing Snake",0,"","no"
"155","Colubridae","Apostolepis","Apostolepis multicincta","HARVEY",1999,3,0,"",0,"","no"
"156","Colubridae","Apostolepis","Apostolepis niceforoi","AMARAL",1935,4,0,"Amazon Burrowing Snake",0,"","no"
"157","Colubridae","Apostolepis","Apostolepis nigroterminata","BOULENGER",1896,4,0,"Peru Burrowing Snake",0,"","no"
"158","Colubridae","Apostolepis","Apostolepis phillipsae","HARVEY",1999,6,2,"",0,"","no"
"159","Colubridae","Apostolepis","Apostolepis polylepis","AMARAL",1921,5,1,"",0,"","no"
"160","Colubridae","Apostolepis","Apostolepis nigrolineata","PETERS",1869,19,6,"",0,"","no"
"161","Colubridae","Apostolepis","Apostolepis quirogai","GIRAUDO & SCROCCHI",1998,4,0,"",0,"","no"
"162","Colubridae","Apostolepis","Apostolepis tenuis","RUTHVEN",1927,4,1,"Ruthven's Burrowing Snake",0,"","no"
"163","Colubridae","Apostolepis","Apostolepis vittata","COPE",1887,6,2,"",0,"","no"
"164","Colubridae","Argyrogena","Argyrogena fasciolata","SHAW",1802,16,7,"Banded Racer",0,"","no"
"165","Colubridae","Arizona","Arizona elegans","KENNICOTT",1859,29,4,"Glossy Snake",0,"","no"
"166","Colubridae","Arrhyton","Arrhyton ainictum","SCHWARTZ & GARRIDO",1981,4,0,"Cuban Island Racer",0,"","no"
"167","Colubridae","Hypsirhynchus","Hypsirhynchus callilaemus","GOSSE",1851,10,6,"",0,"","no"
"168","Colubridae","Arrhyton","Arrhyton dolichura","WERNER",1909,5,1,"Habana Island Racer",0,"","no"
"169","Colubridae","Magliophis","Magliophis exiguum","COPE",1862,17,5,"",0,"","no"
"170","Colubridae","Hypsirhynchus","Hypsirhynchus funereus","COPE",1862,10,5,"",0,"","no"
"171","Colubridae","Hypsirhynchus","Hypsirhynchus polylepis","BUDEN",1966,8,4,"",0,"","no"
"172","Colubridae","Arrhyton","Arrhyton procerum","HEDGES & GARRIDO",1992,4,0,"",0,"","no"
"173","Colubridae","Arrhyton","Arrhyton redimitum","COPE",1862,9,3,"",0,"","no"
"174","Colubridae","Arrhyton","Arrhyton supernum","HEDGES & GARRIDO",1992,4,0,"",0,"","no"
"175","Colubridae","Arrhyton","Arrhyton taeniatum","GÜNTHER",1858,5,0,"GÃ¼nther's Island Racer",0,"","no"
"176","Colubridae","Arrhyton","Arrhyton tanyplectum","SCHWARTZ & GARRIDO",1981,5,0,"San Vincente Island Racer",0,"","no"
"177","Colubridae","Arrhyton","Arrhyton vittatum","GUNDLACH",1861,6,1,"Common Island Racer",0,"","no"
"178","Elapidae","Aspidelaps","Aspidelaps lubricus","LAURENTI",1768,25,4,"South African Coral Snake",1,"","yes"
"179","Elapidae","Aspidelaps","Aspidelaps scutatus","SMITH",1849,24,4,"Shieldnose Cobra",0,"","yes"
"180","Pythonidae","Aspidites","Aspidites melanocephalus","KREFFT",1864,13,1,"Black-headed Python",1,"","no"
"181","Pythonidae","Aspidites","Aspidites ramsayi","MACLEAY",1882,12,3,"Woma Python",0,"","no"
"182","Elapidae","Aspidomorphus","Aspidomorphus lineaticollis","WERNER",1903,8,3,"Collared Adder",0,"","yes"
"183","Elapidae","Aspidomorphus","Aspidomorphus muelleri","SCHLEGEL",1837,16,5,"Muller's Adder",0,"","yes"
"184","Elapidae","Aspidomorphus","Aspidomorphus schlegelii","GÜNTHER",1872,7,3,"Schlegel's Adder",0,"","yes"
"185","Colubridae","Aspidura","Aspidura brachyorrhos","BOIE",1827,12,4,"Boie's Rough-sided Snake",0,"","no"
"186","Colubridae","Aspidura","Aspidura copei","GÜNTHER",1864,6,1,"Cope's Rough-sided Snake",0,"","no"
"187","Colubridae","Aspidura","Aspidura deraniyagalae","GANS & FETCHO",1982,3,0,"Sri Lanka Rough-sided Snake",0,"","no"
"188","Colubridae","Aspidura","Aspidura drummondhayi","BOULENGER",1904,5,1,"Drummond-Hay's Rough-sided Snake",0,"","no"
"189","Colubridae","Aspidura","Aspidura guentheri","FERGUSON",1876,6,0,"GÃ¼nther's Rough-sided Snake",0,"","no"
"190","Colubridae","Aspidura","Aspidura trachyprocta","COPE",1860,7,0,"Common Rough-sided Snake",0,"","no"
"191","Elapidae","Hydrophis","Hydrophis stokesii","GRAY",1846,24,11,"",0,"","yes"
"192","Viperidae","Atheris","Atheris acuminata","BROADLEY",1998,4,0,"",0,"","yes"
"193","Viperidae","Atheris","Atheris broadleyi","LAWSON",1999,5,1,"",0,"","yes"
"194","Viperidae","Atheris","Atheris ceratophora","WERNER",1896,9,1,"Usambara Mountain Bush Viper",0,"","yes"
"195","Viperidae","Atheris","Atheris chlorechis","PEL",1852,13,7,"Green Bush Viper",0,"","yes"
"196","Viperidae","Atheris","Atheris desaixi","ASHE",1968,7,0,"Ashe's Bush Viper",0,"","yes"
"197","Viperidae","Atheris","Atheris hispida","LAURENT",1955,9,2,"Laurent's Mountain Bush Viper",0,"","yes"
"198","Viperidae","Atheris","Atheris katangensis","DE WITTE",1953,5,0,"Katanga Mountain Bush Viper",0,"","yes"
"199","Viperidae","Atheris","Atheris nitschei","TORNIER",1902,9,1,"Great Lakes Bush Viper",0,"","yes"
"200","Viperidae","Atheris","Atheris rungweensis","BOGERT",1940,8,1,"",0,"","yes"
"201","Viperidae","Atheris","Atheris squamigera","HALLOWELL",1854,17,9,"Rough-scaled Bush Viper",1,"","yes"
"202","Lamprophiidae","Atractaspis","Atractaspis aterrima","GÜNTHER",1863,10,2,"",0,"","yes"
"203","Lamprophiidae","Atractaspis","Atractaspis bibronii","SMITH",1849,19,6,"Bibron's Mole Viper",1,"","yes"
"204","Lamprophiidae","Atractaspis","Atractaspis boulengeri","MOCQUARD",1897,18,3,"Boulenger's Mole Viper",0,"","yes"
"205","Lamprophiidae","Atractaspis","Atractaspis congica","PETERS",1877,16,2,"Eastern Congo Mole Viper",0,"","yes"
"206","Lamprophiidae","Atractaspis","Atractaspis corpulenta","HALLOWELL",1854,17,4,"Fat Mole Viper",0,"","yes"
"207","Lamprophiidae","Atractaspis","Atractaspis dahomeyensis","BOCAGE",1887,7,0,"Bocage's Mole Viper",0,"","yes"
"208","Lamprophiidae","Atractaspis","Atractaspis duerdeni","GOUGH",1907,7,1,"",0,"","yes"
"209","Lamprophiidae","Atractaspis","Atractaspis engaddensis","HAAS",1950,6,1,"",0,"","yes"
"210","Lamprophiidae","Atractaspis","Atractaspis engdahli","LÖNNBERG & ANDERSSON",1913,5,0,"Engdahl's Mole Viper",0,"","yes"
"211","Lamprophiidae","Atractaspis","Atractaspis fallax","PETERS",1867,6,1,"False Mole Viper",0,"","yes"
"212","Lamprophiidae","Atractaspis","Atractaspis irregularis","REINHARDT",1843,20,8,"Variable Mole Viper",0,"","yes"
"213","Lamprophiidae","Atractaspis","Atractaspis leucomelas","BOULENGER",1895,5,0,"White Mole Viper",0,"","yes"
"214","Lamprophiidae","Atractaspis","Atractaspis microlepidota","GÜNTHER",1866,10,4,"Small-scaled Mole Viper",0,"","yes"
"215","Lamprophiidae","Atractaspis","Atractaspis micropholis","GÜNTHER",1872,8,2,"Common Mole Viper",0,"","yes"
"216","Lamprophiidae","Atractaspis","Atractaspis reticulata","SJÖSTEDT",1896,18,2,"Reticulate Mole Viper",0,"","yes"
"217","Lamprophiidae","Atractaspis","Atractaspis scorteccii","PARKER",1949,4,0,"Scortecci's Mole Viper",0,"","yes"
"218","Colubridae","Atractus","Atractus albuquerquei","DA CUNHA & DO NASCIMENTO",1983,3,0,"Albuquerque Ground Snake",0,"","no"
"219","Colubridae","Atractus","Atractus alphonsehogei","DA CUNHA & DO NASCIMENTO",1983,3,0,"Alphonse's Ground Snake",0,"","no"
"220","Colubridae","Atractus","Atractus andinus","PRADO",1944,3,0,"Andean Ground Snake",0,"","no"
"221","Colubridae","Atractus","Atractus arangoi","PRADO",1939,3,0,"Colombian Ground Snake",0,"","no"
"222","Colubridae","Atractus","Atractus badius","BOIE",1827,17,8,"Boie's Ground Snake",0,"","no"
"223","Colubridae","Atractus","Atractus balzani","BOULENGER",1898,3,0,"Bolivian Ground Snake",0,"","no"
"224","Colubridae","Atractus","Atractus biseriatus","PRADO",1941,3,0,"Two-lined Ground Snake",0,"","no"
"225","Colubridae","Atractus","Atractus bocki","WERNER",1909,7,1,"Bock's Ground Snake",0,"","no"
"226","Colubridae","Atractus","Atractus bocourti","BOULENGER",1894,3,0,"Bocourt's Ground Snake",0,"","no"
