id,region
9e1dd8a8-e308-4cd6-9da9-b1c49924eb2a,north-america
efe1f23b-c1a1-470f-8669-b25aeb14f6f1,australasia-oceania
519417c8-f435-4f7c-8f74-581baa347a84,europe
0038648e-96db-41fa-a39e-4985476b33d5,asia
f1fb8940-8d15-430e-9f91-1b3e778adb73,north-america
38b02d9e-5117-4785-8cf8-b3840bfdd8f2,south-america
041c78db-a51c-48be-9c06-1807a34fe49b,europe
4d05d21d-8fa2-401f-a276-a160feccf789,europe
7e21735b-1320-47e8-8dc9-1c0b90d742dd,europe
7eebe865-7108-40ca-8e91-d0920cc3d090,north-america
32a261ce-6888-45da-8497-802ed1601002,north-america
11743fa5-64ba-43dc-bde1-103b0e130390,north-america
9690d007-c5ae-411a-9d40-e2a8df440e4a,north-america
24774f11-1566-4f4b-ae06-90c747e9cc3e,north-america
19c0db68-a848-40c8-8f27-b2d45bdf5a62,europe
6ded9105-d640-4a4a-aabf-bc0e7148e75a,north-america
06d0ce4d-d5bb-48d9-866b-acf1fcd3f4d7,north-america
ff9d35c8-4f02-41da-8fcb-61a377e879f8,north-america
84258d0f-c7ce-4cbe-a139-bfde78d1b428,north-america
b973ce01-c22b-4248-8da4-a1a14822fa93,north-america
0038c9f2-a9de-4ce7-9485-06d913fe4eb4,north-america
63fbe736-61d0-495c-ae67-5fb755cd50ef,north-america
9e25913b-c1c6-4401-9c3f-d9916e6b36e5,north-america
73743f98-7acd-418f-815c-4663557cf825,north-america
f584495e-8182-4d69-9c6a-d8c7e47850a9,north-america
ef3cf1f1-048e-4467-a21a-d3b21fc56afa,europe
fcfbcc92-5c91-4370-952d-eb1df74701b4,north-america
5c704d26-98cb-4991-9d52-231b7c27538d,north-america
827c12c5-5a77-445a-a610-c8e5199e3ac4,asia
37711e89-31d6-4fdc-b8f7-d8fc8fe3c4a0,north-america
af19d4cf-f54c-459c-b735-ff3c72d5c206,australasia-oceania
0a5f0154-45f2-421e-838d-6ba48d8a55a1,europe
91f3fb46-edf9-4963-a9d3-f4cff507a6f9,north-america
2a14c750-6e5e-4666-9289-722d6f13e0ed,north-america
1649bc2b-7fb8-4928-8b9f-099d0faa876d,north-america
c24faf24-1933-4992-8f67-41fe8a6768af,north-america
1c040749-a937-4c1b-b94f-9faadae1b1cc,north-america
3bf1331c-7ade-4f50-80a2-bfc78cda12fc,north-america
7f0b8317-03b5-4a70-bbc2-b74357336c05,north-america
05b1cc64-3376-42ca-93b5-8bcc3e22c0f1,north-america
b14144ef-613f-4f25-ac45-7a7b599fa787,africa
b54b306f-cf8d-4073-8386-695e02427166,north-america
4d281ae9-6349-4d6a-af03-2b21c6eb9b6a,africa
cdd8ed02-1939-421e-9771-d829ed4b1e40,north-america
fdcc1bc8-e733-461f-b7f8-e854eb47af94,north-america
0b88e57e-86d4-4b46-98a2-4cdecedc8103,north-america
4b21c67a-9886-45cc-9c0e-6ec4e3570d90,north-america
f73419b1-26b6-484c-9a13-2aa9b0c46435,north-america
b27474e2-7aec-4fad-98db-36c83b1e3fa3,south-america
ee360c2a-c750-4c6a-9f44-d806e3577def,europe
31bd34d2-6b8f-4343-86e1-12f6f4585a77,south-america
919819cf-6b67-4bc7-927f-ec9bda0f0f26,north-america
8573cfee-742b-4e74-b842-f8295d3213f9,europe
f557ce17-b0c5-44f0-accf-53c12ac92fc7,north-america
108357e6-3549-4ccf-ac35-bb3e2382430e,north-america
2c375c1e-048e-4407-ba16-cd340fd23359,north-america
aaea091e-f4ed-4400-8c27-3fc45ffe092c,north-america
aa77e36d-25c4-4bbf-a817-1d095b908643,north-america
8708434a-a28e-4e19-a4da-528581d2c188,north-america
0d46ee59-cc3d-47ed-a7a9-ac8e13868555,europe
4b25e729-2eeb-4e84-aab4-d7245345ba74,africa
36a961a3-1306-4ccb-9c00-376e573da2b5,north-america
